Threshold,Accuracy,Precision,Recall,F1
0.2,0.5833924769339958,0.38560687432867885,0.9598930481283422,0.550191570881226
0.25,0.6245564229950319,0.409778812572759,0.9411764705882353,0.5709651257096513
0.3,0.6557842441447835,0.43105590062111804,0.9278074866310161,0.5886344359626803
0.35,0.6884315117104329,0.45554035567715456,0.8903743315508021,0.6027149321266968
0.4,0.7068843151171044,0.47093889716840537,0.8449197860962567,0.6047846889952153
0.45,0.7281760113555713,0.4928684627575277,0.8315508021390374,0.618905472636816
0.5,0.7480482611781405,0.5162393162393163,0.8074866310160428,0.629822732012513
0.55,0.7650816181689141,0.5401869158878505,0.7727272727272727,0.6358635863586358
0.6,0.7821149751596878,0.5729847494553377,0.7032085561497327,0.631452581032413
0.65,0.7913413768630234,0.601010101010101,0.6363636363636364,0.6181818181818182
0.7,0.8005677785663591,0.6430769230769231,0.5588235294117647,0.597997138769671
