Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8418610659019866
Random Forest,0.7551454932576295,0.5261261261261261,0.7807486631016043,0.628632938643703,0.841411558035599
Gradient Boosting,0.8069552874378992,0.6758620689655173,0.5240641711229946,0.5903614457831325,0.8461895166498746
XGBoost,0.7551454932576295,0.5266055045871559,0.767379679144385,0.6245919477693145,0.8407088790720503
Tuned XGBoost,0.7480482611781405,0.5162393162393163,0.8074866310160428,0.629822732012513,0.8459273037278152
